Year,State,Deaths,MortalityRate,Population,sourceDeaths,NextPopulation,PopulationChange,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,CrudeBirthRate,Births
1936,Michigan,57015,11.2,5090594,calculated from mortality rate and population estimate,5049216,-41378.09999999963,,,,,,19.0,96721
1937,Michigan,55425,10.8,5131972,calculated from mortality rate and population estimate,5090594,-41378.10000000056,,,,,,18.7,95968
1938,Michigan,51733,10.0,5173350,calculated from mortality rate and population estimate,5131972,-41378.09999999963,,,,,,19.2,99328
1939,Michigan,52669,10.1,5214728,calculated from mortality rate and population estimate,5173350,-41378.10000000056,,,,,,18.8,98037
1940,Michigan,52035,9.9,5256106,calculated from mortality rate and population estimate,5214728,-41378.09999999963,,,,,,19.4,101968
1941,Michigan,56361,10.5,5367672,calculated from mortality rate and population estimate,5256106,-111566.0,,,,,,20.3,108964
1942,Michigan,56436,10.3,5479238,calculated from mortality rate and population estimate,5367672,-111566.0,,,,,,22.2,121639
1943,Michigan,60940,10.9,5590804,calculated from mortality rate and population estimate,5479238,-111566.0,,,,,,22.7,126911
1944,Michigan,60445,10.6,5702370,calculated from mortality rate and population estimate,5590804,-111566.0,,,,,,21.2,120890
1945,Michigan,61628,10.6,5813936,calculated from mortality rate and population estimate,5702370,-111566.0,,,,,,20.4,118604
1946,Michigan,59255,10.0,5925502,calculated from mortality rate and population estimate,5813936,-111566.0,,,,,,24.1,142805
1947,Michigan,60974,10.1,6037068,calculated from mortality rate and population estimate,5925502,-111566.0,,,,,,26.6,160586
1948,Michigan,60871,9.9,6148634,calculated from mortality rate and population estimate,6037068,-111566.0,,,,,,24.9,153101
1949,Michigan,60724,9.7,6260200,calculated from mortality rate and population estimate,6148634,-111566.0,,,,,,24.5,153375
1950,Michigan,61169,9.6,6371766,calculated from mortality rate and population estimate,6260200,-111566.0,,,,,,23.71,151075
1951,Michigan,63214,9.7,6516909,calculated from mortality rate and population estimate,6371766,-145142.7999999998,,,,,,23.928,155937
1952,Michigan,63956,9.6,6662052,calculated from mortality rate and population estimate,6516909,-145142.7999999998,,,,,,24.313,161974
1953,Michigan,65349,9.6,6807194,calculated from mortality rate and population estimate,6662052,-145142.80000000075,,,,,,24.599,167450
1954,Michigan,63962,9.2,6952337,calculated from mortality rate and population estimate,6807194,-145142.7999999998,,,,,,24.784,172307
1955,Michigan,66007,9.3,7097480,calculated from mortality rate and population estimate,6952337,-145142.7999999998,,,,,,24.869,176507
1956,Michigan,68081,9.4,7242623,calculated from mortality rate and population estimate,7097480,-145142.7999999998,,,,,,24.852,179994
1957,Michigan,70923,9.6,7387766,calculated from mortality rate and population estimate,7242623,-145142.7999999998,,,,,,24.731,182707
1958,Michigan,71563,9.5,7532908,calculated from mortality rate and population estimate,7387766,-145142.80000000075,,,,,,24.505,184594
1959,Michigan,72174,9.4,7678051,calculated from mortality rate and population estimate,7532908,-145142.7999999998,,,,,,24.169,185571
1960,Michigan,74320,9.5,7823194,calculated from mortality rate and population estimate,7678051,-145142.7999999998,,,,,,23.72,185566
1961,Michigan,73734,9.3,7928383,calculated from mortality rate and population estimate,7823194,-105188.90000000037,,,,,,23.159,183613
1962,Michigan,76319,9.5,8033572,calculated from mortality rate and population estimate,7928383,-105188.89999999944,,,,,,22.491,180683
1963,Michigan,78132,9.6,8138761,calculated from mortality rate and population estimate,8033572,-105188.90000000037,,,,,,21.735,176896
1964,Michigan,77493,9.4,8243950,calculated from mortality rate and population estimate,8138761,-105188.89999999944,,,,,,20.918,172447
1965,Michigan,78482,9.4,8349138,calculated from mortality rate and population estimate,8243950,-105188.90000000037,,,,,,20.075,167609
1966,Michigan,80316,9.5,8454327,calculated from mortality rate and population estimate,8349138,-105188.90000000037,,,,,,19.24,162661
1967,Michigan,80459,9.4,8559516,calculated from mortality rate and population estimate,8454327,-105188.90000000037,,,,,,18.443,157863
1968,Michigan,77473,8.811,8793156,NCHS,8559516,-233639.69999999925,,,,,,17.711,155736
1969,Michigan,76808,8.691,8837714,NCHS,8793156,-44558.0,,,,,,17.066,150824
1970,Michigan,76334,8.584,8892674,NCHS,8837714,-54960.0,,,,,,16.519,146898
1971,Michigan,77291,8.613,8974164,NCHS,8892674,-81490.0,,,,,,16.071,144224
1972,Michigan,78674,8.728,9014281,NCHS,8974164,-40117.0,,,,,,15.702,141542
1973,Michigan,78359,8.65,9059361,NCHS,9014281,-45080.0,,,,,,15.398,139496
1974,Michigan,76249,8.381,9097691,NCHS,9059361,-38330.0,,,,,,15.155,137876
1975,Michigan,74596,8.199,9097733,NCHS,9097691,-42.0,,,,,,14.976,136248
1976,Michigan,75862,8.326,9111274,NCHS,9097733,-13541.0,,,,,,14.867,135457
1977,Michigan,74198,8.1,9160259,NCHS,9111274,-48985.0,,,,,,14.825,135801
1978,Michigan,74968,8.144,9205747,NCHS,9160259,-45488.0,,,,,,14.845,136659
1979,Michigan,73701,7.962000000000001,9257009,NCHS,9205747,-51262.0,,,,,,14.915,138068
1980,Michigan,75187,8.11,9270570,NCHS,9257009,-13561.0,,,,,,15.021,139253
1981,Michigan,75842,8.234,9211052,NCHS,9270570,59518.0,,,,,,15.15,139547
1982,Michigan,75694,8.302999999999999,9116004,NCHS,9211052,95048.0,,,,,,15.288,139365
1983,Michigan,76684,8.478,9044768,NCHS,9116004,71236.0,,,,,,15.421,139479
1984,Michigan,76588,8.462,9051129,NCHS,9044768,-6361.0,,,,,,15.537,140627
1985,Michigan,78722,8.669,9080608,NCHS,9051129,-29479.0,,,,,,15.63,141930
1986,Michigan,80222,8.785,9131461,NCHS,9080608,-50853.0,,,,,,15.698,143346
1987,Michigan,79622,8.661,9192919,NCHS,9131461,-61458.0,,,,,,15.746,144752
1988,Michigan,80147,8.692,9220559,NCHS,9192919,-27640.0,,,,,,15.776,145464
1989,Michigan,78861,8.515,9261707,NCHS,9220559,-41148.0,,,,,,15.783,146178
1990,Michigan,78744,8.469,9297733,NCHS,9261707,-36026.0,,,,,,15.756,146495
1991,Michigan,79980,8.503,9405654,NCHS,9297733,-107921.0,,,,,,15.684,147518
1992,Michigan,79079,8.341000000000001,9481313,NCHS,9405654,-75659.0,,,,,,15.562,147548
1993,Michigan,82570,8.652999999999999,9542498,NCHS,9481313,-61185.0,,,,,,15.396,146916
1994,Michigan,82943,8.639,9601374,NCHS,9542498,-58876.0,,,,,,15.195,145893
1995,Michigan,83661,8.644,9678159,NCHS,9601374,-76785.0,,,,,,14.974,144921
1996,Michigan,83622,8.567,9761416,NCHS,9678159,-83257.0,,,,,,14.755,144030
1997,Michigan,83301,8.49,9811768,NCHS,9761416,-50352.0,,,,,,14.556,142820
1998,Michigan,85160,8.644,9851606,NCHS,9811768,-39838.0,,,,,,14.391,141774
1999,Michigan,87232,8.814,9897116,NCHS,9851606,-45510.0,,,,,,14.266,141192
2000,Michigan,86953,8.749,9938444,NCHS,9897116,-41328.0,,,,,,14.185,140977
2001,Michigan,86424,8.65,9991120,NCHS,9938444,-52676.0,,,,,,14.145,141324
2002,Michigan,87795,8.766,10015710,NCHS,9991120,-24590.0,,,,,,14.13,141522
2003,Michigan,86728,8.637,10041152,NCHS,10015710,-25442.0,,,,,,14.123,141811
2004,Michigan,85169,8.47,10055315,NCHS,10041152,-14163.0,,,,,,14.11,141880
2005,Michigan,86867,8.642999999999999,10051137,NCHS,10055315,4178.0,,1519482.0,,1519482.0,177623.0,14.074,141460
2006,Michigan,86042,8.573,10036081,NCHS,10051137,15056.0,,1611963.0,,1611963.0,200440.0,13.993,140435
2007,Michigan,86721,8.671,10001284,NCHS,10036081,34797.0,,1598715.0,,1598715.0,210049.0,13.862,138638
2008,Michigan,88445,8.892000000000001,9946889,NCHS,10001284,54395.0,,1631149.0,,1631149.0,203739.0,13.684,136113
2009,Michigan,86455,8.731,9901591,NCHS,9946889,45298.0,,1620830.0,,1620830.0,206343.0,13.466,133335
2010,Michigan,88021,8.906,9883640,NCHS,9901591,17951.0,9601999.0,116149.0,43979.0,160128.0,178207.0,13.228,130741
2011,Michigan,89508,9.062999999999999,9876187,NCHS,9883640,7453.0,9583684.0,139158.0,43732.0,182890.0,186505.0,12.996,128351
2012,Michigan,89901,9.096,9883360,NCHS,9876187,-7173.0,9599095.0,133981.0,45904.0,179885.0,175733.0,12.795,126458
2013,Michigan,92408,9.338,9895622,NCHS,9883360,-12262.0,9590989.0,144091.0,49014.0,193105.0,166996.0,12.642,125100
2014,Michigan,93914,9.477,9909877,NCHS,9895622,-14255.0,9597532.0,149991.0,48136.0,198127.0,173337.0,12.544,124309
2015,Michigan,95140,9.588,9922576,NCHS,9909877,-12699.0,9623960.0,142639.0,44817.0,187456.0,180337.0,12.499,124022
2016,Michigan,96231,9.693,9928300,NCHS,9922576,-5724.0,9603045.0,155874.0,54853.0,210727.0,156354.0,11.41,113282
2017,Michigan,97602,9.797,9962311,NCHS,9928300,-34011.0,9654095.0,148787.0,48448.0,197235.0,148059.0,11.18,111379
2018,Michigan,98903,9.894,9995915,NCHS,9962311,-33604.0,9706941.0,139276.0,44866.0,184142.0,152605.0,11.01,110055
2019,Michigan,99084,9.921,9986857,NCHS,9995915,9058.0,9710406.0,132008.0,38344.0,170352.0,152365.0,10.8,107858
2020,Michigan,117106,11.75,9966555,NCHS,,,,,,,,10.44,104051
2021,Michigan,114290,11.482400000000325,9953500,,,,,,,,,10.271999999999878,102242
2022,Michigan,118364,11.906200000000354,9941452,,,,,,,,,10.039999999999907,99812
2023,Michigan,122349,12.330000000000382,9922899,,,,,,,,,9.807999999999879,97323
2024,Michigan,126235,12.753800000000297,9897874,,,,,,,,,9.575999999999908,94782
2025,Michigan,130015,13.177600000000325,9866420,,,,,,,,,9.34399999999988,92191
1914,Minnesota,23103,10.5,2200275,calculated from mortality rate and population estimate,9966555,7766280.2,,,,,,29.9,65788
1915,Minnesota,22314,10.0,2231416,calculated from mortality rate and population estimate,2200275,-31141.700000000186,,,,,,29.5,65827
1916,Minnesota,23757,10.5,2262558,calculated from mortality rate and population estimate,2231416,-31141.700000000186,,,,,,29.1,65840
1917,Minnesota,23625,10.3,2293700,calculated from mortality rate and population estimate,2262558,-31141.69999999972,,,,,,28.5,65370
1918,Minnesota,31850,13.7,2324842,calculated from mortality rate and population estimate,2293700,-31141.700000000186,,,,,,28.2,65561
1919,Minnesota,24973,10.6,2355983,calculated from mortality rate and population estimate,2324842,-31141.69999999972,,,,,,26.1,61491
1920,Minnesota,25542,10.7,2387125,calculated from mortality rate and population estimate,2355983,-31141.700000000186,,,,,,27.7,66123
1921,Minnesota,22605,9.4,2404808,calculated from mortality rate and population estimate,2387125,-17682.799999999814,,,,,,28.1,67575
1922,Minnesota,23256,9.6,2422491,calculated from mortality rate and population estimate,2404808,-17682.80000000028,,,,,,26.2,63469
1923,Minnesota,24890,10.2,2440173,calculated from mortality rate and population estimate,2422491,-17682.799999999814,,,,,,26.0,63445
1924,Minnesota,23841,9.7,2457856,calculated from mortality rate and population estimate,2440173,-17682.80000000028,,,,,,26.1,64150
1925,Minnesota,24755,10.0,2475539,calculated from mortality rate and population estimate,2457856,-17682.799999999814,,,,,,25.1,62136
1926,Minnesota,25182,10.1,2493222,calculated from mortality rate and population estimate,2475539,-17682.799999999814,,,,,,24.2,60336
1927,Minnesota,23854,9.5,2510905,calculated from mortality rate and population estimate,2493222,-17682.80000000028,,,,,,23.5,59006
1928,Minnesota,25286,10.0,2528587,calculated from mortality rate and population estimate,2510905,-17682.799999999814,,,,,,22.2,56135
1929,Minnesota,25463,10.0,2546270,calculated from mortality rate and population estimate,2528587,-17682.80000000028,,,,,,21.2,53981
1930,Minnesota,25640,10.0,2563953,calculated from mortality rate and population estimate,2546270,-17682.799999999814,,,,,,21.3,54612
1931,Minnesota,25351,9.8,2586788,calculated from mortality rate and population estimate,2563953,-22834.700000000186,,,,,,20.2,52253
1932,Minnesota,25574,9.8,2609622,calculated from mortality rate and population estimate,2586788,-22834.69999999972,,,,,,19.5,50888
1933,Minnesota,25272,9.6,2632457,calculated from mortality rate and population estimate,2609622,-22834.700000000186,,,,,,18.4,48437
1934,Minnesota,26553,10.0,2655292,calculated from mortality rate and population estimate,2632457,-22834.69999999972,,,,,,19.0,50451
1935,Minnesota,26246,9.8,2678126,calculated from mortality rate and population estimate,2655292,-22834.700000000186,,,,,,18.7,50081
1936,Minnesota,28630,10.6,2700961,calculated from mortality rate and population estimate,2678126,-22834.700000000186,,,,,,19.0,51318
1937,Minnesota,26966,9.9,2723796,calculated from mortality rate and population estimate,2700961,-22834.69999999972,,,,,,18.7,50935
1938,Minnesota,26368,9.6,2746631,calculated from mortality rate and population estimate,2723796,-22834.700000000186,,,,,,19.2,52735
1939,Minnesota,26864,9.7,2769465,calculated from mortality rate and population estimate,2746631,-22834.69999999972,,,,,,18.8,52066
1940,Minnesota,26806,9.6,2792300,calculated from mortality rate and population estimate,2769465,-22834.700000000186,,,,,,19.4,54171
1941,Minnesota,29519,10.5,2811318,calculated from mortality rate and population estimate,2792300,-19018.299999999814,,,,,,20.3,57070
1942,Minnesota,29152,10.3,2830337,calculated from mortality rate and population estimate,2811318,-19018.30000000028,,,,,,22.2,62833
1943,Minnesota,31058,10.9,2849355,calculated from mortality rate and population estimate,2830337,-19018.299999999814,,,,,,22.7,64680
1944,Minnesota,30405,10.6,2868373,calculated from mortality rate and population estimate,2849355,-19018.30000000028,,,,,,21.2,60810
1945,Minnesota,30606,10.6,2887392,calculated from mortality rate and population estimate,2868373,-19018.299999999814,,,,,,20.4,58903
1946,Minnesota,29064,10.0,2906410,calculated from mortality rate and population estimate,2887392,-19018.299999999814,,,,,,24.1,70044
1947,Minnesota,29547,10.1,2925428,calculated from mortality rate and population estimate,2906410,-19018.30000000028,,,,,,26.6,77816
1948,Minnesota,29150,9.9,2944446,calculated from mortality rate and population estimate,2925428,-19018.299999999814,,,,,,24.9,73317
1949,Minnesota,28746,9.7,2963465,calculated from mortality rate and population estimate,2944446,-19018.30000000028,,,,,,24.5,72605
1950,Minnesota,28632,9.6,2982483,calculated from mortality rate and population estimate,2963465,-19018.299999999814,,,,,,23.71,70715
1951,Minnesota,29349,9.7,3025621,calculated from mortality rate and population estimate,2982483,-43138.10000000009,,,,,,23.928,72397
1952,Minnesota,29460,9.6,3068759,calculated from mortality rate and population estimate,3025621,-43138.10000000009,,,,,,24.313,74611
1953,Minnesota,29874,9.6,3111897,calculated from mortality rate and population estimate,3068759,-43138.09999999963,,,,,,24.599,76550
1954,Minnesota,29026,9.2,3155035,calculated from mortality rate and population estimate,3111897,-43138.10000000009,,,,,,24.784,78194
1955,Minnesota,29743,9.3,3198174,calculated from mortality rate and population estimate,3155035,-43138.10000000009,,,,,,24.869,79535
1956,Minnesota,30468,9.4,3241312,calculated from mortality rate and population estimate,3198174,-43138.10000000009,,,,,,24.852,80553
1957,Minnesota,31531,9.6,3284450,calculated from mortality rate and population estimate,3241312,-43138.10000000009,,,,,,24.731,81228
1958,Minnesota,31612,9.5,3327588,calculated from mortality rate and population estimate,3284450,-43138.09999999963,,,,,,24.505,81543
1959,Minnesota,31685,9.4,3370726,calculated from mortality rate and population estimate,3327588,-43138.10000000009,,,,,,24.169,81467
1960,Minnesota,32432,9.5,3413864,calculated from mortality rate and population estimate,3370726,-43138.10000000009,,,,,,23.72,80977
1961,Minnesota,32113,9.3,3452975,calculated from mortality rate and population estimate,3413864,-39110.700000000186,,,,,,23.159,79967
1962,Minnesota,33175,9.5,3492085,calculated from mortality rate and population estimate,3452975,-39110.69999999972,,,,,,22.491,78540
1963,Minnesota,33899,9.6,3531196,calculated from mortality rate and population estimate,3492085,-39110.700000000186,,,,,,21.735,76751
1964,Minnesota,33561,9.4,3570307,calculated from mortality rate and population estimate,3531196,-39110.69999999972,,,,,,20.918,74684
1965,Minnesota,33929,9.4,3609418,calculated from mortality rate and population estimate,3570307,-39110.700000000186,,,,,,20.075,72459
1966,Minnesota,34661,9.5,3648528,calculated from mortality rate and population estimate,3609418,-39110.700000000186,,,,,,19.24,70198
1967,Minnesota,34664,9.4,3687639,calculated from mortality rate and population estimate,3648528,-39110.69999999972,,,,,,18.443,68011
1968,Minnesota,33903,9.022,3757906,NCHS,3687639,-70267.1000000001,,,,,,17.711,66556
1969,Minnesota,33843,8.952,3780598,NCHS,3757906,-22692.0,,,,,,17.066,64520
1970,Minnesota,33888,8.899,3808180,NCHS,3780598,-27582.0,,,,,,16.519,62907
1971,Minnesota,33897,8.808,3848481,NCHS,3808180,-40301.0,,,,,,16.071,61849
1972,Minnesota,34554,8.955,3858737,NCHS,3848481,-10256.0,,,,,,15.702,60590
1973,Minnesota,33851,8.732999999999999,3876121,NCHS,3858737,-17384.0,,,,,,15.398,59685
1974,Minnesota,33500,8.604,3893567,NCHS,3876121,-17446.0,,,,,,15.155,59007
1975,Minnesota,32689,8.332,3923380,NCHS,3893567,-29813.0,,,,,,14.976,58757
1976,Minnesota,32796,8.291,3955847,NCHS,3923380,-32467.0,,,,,,14.867,58812
1977,Minnesota,32303,8.111,3982696,NCHS,3955847,-26849.0,,,,,,14.825,59043
1978,Minnesota,33316,8.312000000000001,4008285,NCHS,3982696,-25589.0,,,,,,14.845,59503
1979,Minnesota,32089,7.936,4043445,NCHS,4008285,-35160.0,,,,,,14.915,60308
1980,Minnesota,33366,8.173,4082304,NCHS,4043445,-38859.0,,,,,,15.021,61320
1981,Minnesota,32837,7.977,4116561,NCHS,4082304,-34257.0,,,,,,15.15,62366
1982,Minnesota,32978,7.976,4134565,NCHS,4116561,-18004.0,,,,,,15.288,63209
1983,Minnesota,33937,8.196,4140847,NCHS,4134565,-6282.0,,,,,,15.421,63856
1984,Minnesota,33766,8.12,4158462,NCHS,4140847,-17615.0,,,,,,15.537,64610
1985,Minnesota,34801,8.314,4185589,NCHS,4158462,-27127.0,,,,,,15.63,65421
1986,Minnesota,35082,8.343,4205059,NCHS,4185589,-19470.0,,,,,,15.698,66011
1987,Minnesota,34524,8.152999999999999,4234621,NCHS,4205059,-29562.0,,,,,,15.746,66678
1988,Minnesota,35447,8.25,4296514,NCHS,4234621,-61893.0,,,,,,15.776,67782
1989,Minnesota,34307,7.9079999999999995,4338139,NCHS,4296514,-41625.0,,,,,,15.783,68469
1990,Minnesota,34776,7.95,4374144,NCHS,4338139,-36005.0,,,,,,15.756,68919
1991,Minnesota,35309,7.9479999999999995,4442550,NCHS,4374144,-68406.0,,,,,,15.684,69677
1992,Minnesota,35037,7.792999999999999,4496148,NCHS,4442550,-53598.0,,,,,,15.562,69969
1993,Minnesota,36450,7.999,4556938,NCHS,4496148,-60790.0,,,,,,15.396,70159
1994,Minnesota,36539,7.922999999999999,4611776,NCHS,4556938,-54838.0,,,,,,15.195,70076
1995,Minnesota,37507,8.047,4661111,NCHS,4611776,-49335.0,,,,,,14.974,69795
1996,Minnesota,37184,7.888,4713977,NCHS,4661111,-52866.0,,,,,,14.755,69555
1997,Minnesota,36913,7.747999999999999,4764459,NCHS,4713977,-50482.0,,,,,,14.556,69351
1998,Minnesota,37195,7.725,4815103,NCHS,4764459,-50644.0,,,,,,14.391,69294
1999,Minnesota,38537,7.907,4873481,NCHS,4815103,-58378.0,,,,,,14.266,69525
2000,Minnesota,37690,7.6610000000000005,4919479,NCHS,4873481,-45998.0,,,,,,14.185,69783
2001,Minnesota,37735,7.5729999999999995,4982796,NCHS,4919479,-63317.0,,,,,,14.145,70482
2002,Minnesota,38510,7.672999999999999,5018935,NCHS,4982796,-36139.0,,,,,,14.13,70918
2003,Minnesota,37620,7.444,5053572,NCHS,5018935,-34637.0,,,,,,14.123,71372
2004,Minnesota,37034,7.279,5087713,NCHS,5053572,-34141.0,,,,,,14.11,71788
2005,Minnesota,37535,7.332000000000001,5119598,NCHS,5087713,-31885.0,,789323.0,,789323.0,101436.0,14.074,72053
2006,Minnesota,37028,7.171,5163555,NCHS,5119598,-43957.0,,842775.0,,842775.0,119421.0,13.993,72254
2007,Minnesota,37138,7.132000000000001,5207203,NCHS,5163555,-43648.0,,826070.0,,826070.0,115369.0,13.862,72182
2008,Minnesota,38499,7.337000000000001,5247018,NCHS,5207203,-39815.0,,817997.0,,817997.0,115956.0,13.684,71800
2009,Minnesota,37851,7.167000000000001,5281203,NCHS,5247018,-34185.0,,835358.0,,835358.0,112812.0,13.466,71117
2010,Minnesota,38972,7.348,5303925,NCHS,5281203,-22722.0,5128576.0,89872.0,25808.0,115680.0,104765.0,13.228,70160
2011,Minnesota,39820,7.45,5344861,NCHS,5303925,-40936.0,5151638.0,101029.0,24662.0,125691.0,103253.0,12.996,69462
2012,Minnesota,40016,7.439,5379139,NCHS,5344861,-34278.0,5189315.0,101042.0,24871.0,125913.0,115946.0,12.795,68826
2013,Minnesota,40987,7.562,5420380,NCHS,5379139,-41241.0,5221411.0,104825.0,27205.0,132030.0,119221.0,12.642,68524
2014,Minnesota,41445,7.595,5457173,NCHS,5420380,-36793.0,5248535.0,106783.0,29901.0,136684.0,121319.0,12.544,68455
2015,Minnesota,42800,7.797000000000001,5489594,NCHS,5457173,-32421.0,5279708.0,108476.0,31638.0,140114.0,127471.0,12.499,68614
2016,Minnesota,43078,7.803999999999999,5519952,NCHS,5489594,-30358.0,5314391.0,111307.0,30206.0,141513.0,121583.0,12.64,69772
2017,Minnesota,44371,7.957000000000001,5576606,NCHS,5519952,-56654.0,5372020.0,115623.0,23259.0,138882.0,125130.0,12.3,68592
2018,Minnesota,44745,7.974,5611179,NCHS,5576606,-34573.0,5417360.0,100270.0,25860.0,126130.0,112228.0,12.0,67334
2019,Minnesota,45514,8.07,5639632,NCHS,5611179,-28453.0,5442930.0,106920.0,25385.0,132305.0,114258.0,11.71,66040
2020,Minnesota,52372,9.257,5657342,NCHS,,,,,,,,11.21,63419
2021,Minnesota,51684,9.118100000000027,5668389,,,,,,,,,10.936999999999784,61995
2022,Minnesota,53493,9.420000000000073,5678699,,,,,,,,,10.591999999999757,60148
2023,Minnesota,55272,9.721900000000005,5685354,,,,,,,,,10.246999999999844,58257
2024,Minnesota,57018,10.023800000000051,5688340,,,,,,,,,9.901999999999816,56325
2025,Minnesota,58728,10.325699999999983,5687647,,,,,,,,,9.556999999999789,54356
1914,Mississippi,23867,13.3,1794516,calculated from mortality rate and population estimate,5657342,3862826.4,,,,,,29.9,53656
1915,Mississippi,23679,13.2,1793866,calculated from mortality rate and population estimate,1794516,649.6000000000931,,,,,,29.5,52919
1916,Mississippi,24746,13.8,1793216,calculated from mortality rate and population estimate,1793866,649.6000000000931,,,,,,29.1,52183
1917,Mississippi,25096,14.0,1792567,calculated from mortality rate and population estimate,1793216,649.5999999998603,,,,,,28.5,51088
1918,Mississippi,32434,18.1,1791917,calculated from mortality rate and population estimate,1792567,649.6000000000931,,,,,,28.2,50532
1919,Mississippi,22749,12.7,1791268,calculated from mortality rate and population estimate,1791917,649.5999999998603,,,,,,26.1,46752
1920,Mississippi,21846,12.2,1790618,calculated from mortality rate and population estimate,1791268,649.6000000000931,,,,,,27.7,49600
1921,Mississippi,19757,10.9,1812538,calculated from mortality rate and population estimate,1790618,-21920.300000000047,,,,,,28.1,50932
1922,Mississippi,19445,10.6,1834459,calculated from mortality rate and population estimate,1812538,-21920.300000000047,,,,,,26.2,48063
1923,Mississippi,20420,11.0,1856379,calculated from mortality rate and population estimate,1834459,-21920.299999999814,,,,,,26.0,48266
1924,Mississippi,21037,11.2,1878299,calculated from mortality rate and population estimate,1856379,-21920.300000000047,,,,,,26.1,49024
1925,Mississippi,22043,11.6,1900220,calculated from mortality rate and population estimate,1878299,-21920.300000000047,,,,,,25.1,47696
1926,Mississippi,23642,12.3,1922140,calculated from mortality rate and population estimate,1900220,-21920.300000000047,,,,,,24.2,46516
1927,Mississippi,22940,11.8,1944060,calculated from mortality rate and population estimate,1922140,-21920.300000000047,,,,,,23.5,45685
1928,Mississippi,25754,13.1,1965980,calculated from mortality rate and population estimate,1944060,-21920.299999999814,,,,,,22.2,43645
1929,Mississippi,25644,12.9,1987901,calculated from mortality rate and population estimate,1965980,-21920.300000000047,,,,,,21.2,42143
1930,Mississippi,24118,12.0,2009821,calculated from mortality rate and population estimate,1987901,-21920.300000000047,,,,,,21.3,42809
1931,Mississippi,22299,11.0,2027218,calculated from mortality rate and population estimate,2009821,-17397.5,,,,,,20.2,40950
1932,Mississippi,20446,10.0,2044616,calculated from mortality rate and population estimate,2027218,-17397.5,,,,,,19.5,39870
1933,Mississippi,21651,10.5,2062014,calculated from mortality rate and population estimate,2044616,-17397.5,,,,,,18.4,37941
1934,Mississippi,21834,10.5,2079411,calculated from mortality rate and population estimate,2062014,-17397.5,,,,,,19.0,39509
1935,Mississippi,21387,10.2,2096808,calculated from mortality rate and population estimate,2079411,-17397.5,,,,,,18.7,39210
1936,Mississippi,24313,11.5,2114206,calculated from mortality rate and population estimate,2096808,-17397.5,,,,,,19.0,40170
1937,Mississippi,24087,11.3,2131604,calculated from mortality rate and population estimate,2114206,-17397.5,,,,,,18.7,39861
1938,Mississippi,22779,10.6,2149001,calculated from mortality rate and population estimate,2131604,-17397.5,,,,,,19.2,41261
1939,Mississippi,22531,10.4,2166398,calculated from mortality rate and population estimate,2149001,-17397.5,,,,,,18.8,40728
1940,Mississippi,23148,10.6,2183796,calculated from mortality rate and population estimate,2166398,-17397.5,,,,,,19.4,42366
1941,Mississippi,22925,10.5,2183308,calculated from mortality rate and population estimate,2183796,488.20000000018626,,,,,,20.3,44321
1942,Mississippi,22483,10.3,2182820,calculated from mortality rate and population estimate,2183308,488.1999999997206,,,,,,22.2,48459
1943,Mississippi,23787,10.9,2182331,calculated from mortality rate and population estimate,2182820,488.20000000018626,,,,,,22.7,49539
1944,Mississippi,23128,10.6,2181843,calculated from mortality rate and population estimate,2182331,488.1999999997206,,,,,,21.2,46255
1945,Mississippi,23122,10.6,2181355,calculated from mortality rate and population estimate,2181843,488.20000000018626,,,,,,20.4,44500
1946,Mississippi,21809,10.0,2180867,calculated from mortality rate and population estimate,2181355,488.20000000018626,,,,,,24.1,52559
1947,Mississippi,22022,10.1,2180379,calculated from mortality rate and population estimate,2180867,488.1999999997206,,,,,,26.6,57998
1948,Mississippi,21581,9.9,2179890,calculated from mortality rate and population estimate,2180379,488.20000000018626,,,,,,24.9,54279
1949,Mississippi,21140,9.7,2179402,calculated from mortality rate and population estimate,2179890,488.1999999997206,,,,,,24.5,53395
1950,Mississippi,20918,9.6,2178914,calculated from mortality rate and population estimate,2179402,488.20000000018626,,,,,,23.71,51662
1951,Mississippi,21135,9.7,2178837,calculated from mortality rate and population estimate,2178914,77.29999999981374,,,,,,23.928,52135
1952,Mississippi,20916,9.6,2178759,calculated from mortality rate and population estimate,2178837,77.3000000002794,,,,,,24.313,52972
1953,Mississippi,20915,9.6,2178682,calculated from mortality rate and population estimate,2178759,77.29999999981374,,,,,,24.599,53593
1954,Mississippi,20043,9.2,2178605,calculated from mortality rate and population estimate,2178682,77.3000000002794,,,,,,24.784,53995
1955,Mississippi,20260,9.3,2178528,calculated from mortality rate and population estimate,2178605,77.29999999981374,,,,,,24.869,54178
1956,Mississippi,20477,9.4,2178450,calculated from mortality rate and population estimate,2178528,77.29999999981374,,,,,,24.852,54139
1957,Mississippi,20912,9.6,2178373,calculated from mortality rate and population estimate,2178450,77.3000000002794,,,,,,24.731,53873
1958,Mississippi,20694,9.5,2178296,calculated from mortality rate and population estimate,2178373,77.29999999981374,,,,,,24.505,53379
1959,Mississippi,20475,9.4,2178218,calculated from mortality rate and population estimate,2178296,77.3000000002794,,,,,,24.169,52645
1960,Mississippi,20692,9.5,2178141,calculated from mortality rate and population estimate,2178218,77.29999999981374,,,,,,23.72,51666
1961,Mississippi,20293,9.3,2182018,calculated from mortality rate and population estimate,2178141,-3877.100000000093,,,,,,23.159,50533
